Country,Population,Area (sq. km),Pixel count,Rad. Sum,Rad. / 1000 pop.,Pop. / sq. km,Rad. Mean,Rad. Max
Afghanistan,"30,551,674","641,728.80","3,602,817","866,270",28.4,48,0.24,202.732
Albania,"3,173,271","32,713.30","201,976","120,083",37.8,97,0.595,133.579
Algeria,"39,208,194","2,338,364.50","12,422,022","4,843,261",123.5,17,0.39,"25,278.67"
Andorra,"79,218",465.7,"2,952","8,888",112.2,170,3.011,84.723
Angola,"21,471,618","1,282,915.80","6,149,738","820,998",38.2,17,0.134,"4,120.77"
Anguilla,143,"4,387.90","21,604","2,695","18,844.70",0,0.125,19.464
Antigua and Barbuda,"89,985","7,500.20","36,701","8,157",90.7,12,0.222,33.413
Argentina,"41,446,246","2,921,020.60","16,951,936","4,416,675",106.6,14,0.261,"2,054.85"
Armenia,"2,976,566","29,732.30","181,392","74,280",25,100,0.41,132.516
Australia *,"23,342,553","8,616,992.90","44,911,459","4,645,086",199,3,0.103,"13,574.51"
Austria,"8,495,145","83,949.80","578,225","426,235",50.2,101,0.737,146.728
Azerbaijan,"9,413,420","99,071.20","604,228","366,563",38.9,95,0.607,"1,225.78"
Bahrain,"1,332,171","5,812.80","30,209","236,885",177.8,229,7.842,824.683
Bangladesh,"156,594,962","152,540.60","777,893","308,899",2,"1,027",0.397,126.93
Barbados,"284,644","3,973.40","19,090","12,952",45.5,72,0.678,67.791
Belarus,"9,356,678","207,568.20","1,620,822","1,158,545",123.8,45,0.715,"1,451.08"
Belgium,"11,104,476","32,106.60","235,207","1,363,991",122.8,346,5.799,882.026
Belize,"368,310","34,566.00","169,079","28,885",78.4,11,0.171,64.578
Benin,"10,323,474","117,848.20","559,252","98,927",9.6,88,0.177,96.383
Bermuda,"65,341","2,996.10","16,533","4,377",67,22,0.265,44.611
Bhutan,"753,947","38,801.70","203,948","30,965",41.1,19,0.152,64.864
Bolivia,"10,671,200","1,083,744.20","5,296,078","796,830",74.7,10,0.15,314.056
Bosnia and Herzegovina,"3,829,307","51,220.50","332,015","206,700",54,75,0.623,144.786
Botswana,"2,021,144","578,145.90","2,918,458","303,452",150.1,3,0.104,559.323
Brazil,"205,361,925","8,732,227.20","41,997,313","13,695,578",66.7,24,0.326,"6,192.02"
British Indian Ocean Territory,"3,000","14,293.00","67,268","9,564","3,187.90",0,0.142,23.917
British Virgin Islands,"28,341","5,212.30","25,700","3,100",109.4,5,0.121,34.862
Brunei,"417,784","6,916.80","32,497","63,226",151.3,60,1.946,234.399
Bulgaria,"7,222,943","117,350.20","743,429","396,444",54.9,62,0.533,146.73
